출발ID,출발지명,도착ID,도착지명,도보시간(분),거리(m)
P007,백년손님,P053,주돈,14,1086
P007,백년손님,P054,서울뒷고기막창,16,1112
P007,백년손님,P055,옐라,18,1390
P007,백년손님,P056,대호당,19,1472
P007,백년손님,P057,사계돈,18,1406
P007,백년손님,P058,황오바오,17,1354
P007,백년손님,P059,시간의 여백,16,1196
P007,백년손님,P060,리커피하우스,14,1053
P007,백년손님,P061,로라커피,24,1795
P007,백년손님,P062,소담루,21,1561
P007,백년손님,P063,위주,20,1500
P007,백년손님,P064,크루그,18,1341
P007,백년손님,P065,나봉상점 경주점,18,1460
P007,백년손님,P066,연화,22,1649
P007,백년손님,P067,yesterday,27,2038
P007,백년손님,P068,진수성찬,9,663
P007,백년손님,P069,베이글베이글러,5,369
P007,백년손님,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),10,763
P007,백년손님,P071,경주 교촌마을,8,648
P007,백년손님,P072,경주 황리단길,6,491
P007,백년손님,P073,경주 계림,13,966
P007,백년손님,P074,월정교,12,966
P007,백년손님,P075,경주읍성,25,1842
P007,백년손님,P076,경주 첨성대,9,702
P008,백조식당,P009,줄리스,3,222
P008,백조식당,P010,포롱아밀 황남점,1,46
P008,백조식당,P011,화양연화,4,333
P008,백조식당,P012,료코,3,222
P008,백조식당,P013,황남두꺼비식당 황남본점,2,176
P008,백조식당,P014,피자옥,1,71
P008,백조식당,P015,범외양간 황리단길본점,4,283
P008,백조식당,P016,경주황소곱창 황리단길본점,2,188
P008,백조식당,P017,메종드문,2,157
P008,백조식당,P018,풍미갈비찜,1,100
P008,백조식당,P019,황남갈비,4,337
P008,백조식당,P020,타베르나,2,121
P008,백조식당,P021,소나무 황리단길본점,4,279
P008,백조식당,P022,오칼국수,3,198
P008,백조식당,P023,황남거북이,2,181
P008,백조식당,P024,그때그소간지,3,246
P008,백조식당,P025,짚불함박,5,360
P008,백조식당,P026,향밀,4,289
P008,백조식당,P027,체크인치즈 황리단길점,1,100
P008,백조식당,P028,황남역,6,469
P008,백조식당,P029,황남양옥,3,191
P008,백조식당,P030,대릉소반,6,480
P008,백조식당,P031,미포기사식당,4,320
P008,백조식당,P032,황리화덕가,4,324
P008,백조식당,P033,향택 경주,4,292
P008,백조식당,P034,무궁무진,3,224
P008,백조식당,P035,노키,5,356
P008,백조식당,P036,마카다,6,454
P008,백조식당,P037,황리단 치킨,4,313
P008,백조식당,P038,담요 따뜻한 손길,7,518
P008,백조식당,P039,스컹크웍스,2,152
P008,백조식당,P040,굿즈,2,153
P008,백조식당,P041,샬로우커피 황리단길점,3,223
P008,백조식당,P042,데어벤치,3,226
P008,백조식당,P043,스위피,3,218
P008,백조식당,P044,아르떼,3,203
P008,백조식당,P045,키도트,6,472
P008,백조식당,P046,후프후프,7,530
P008,백조식당,P047,올리브,4,323
P008,백조식당,P048,양지다방,4,282
P008,백조식당,P049,미실카페,5,387
P008,백조식당,P050,햇오프커피,5,360
P008,백조식당,P051,비화커피,4,313
P008,백조식당,P052,오버랩,12,826
P008,백조식당,P053,주돈,12,884
P008,백조식당,P054,서울뒷고기막창,13,909
P008,백조식당,P055,옐라,15,1134
P008,백조식당,P056,대호당,16,1216
P008,백조식당,P057,사계돈,15,1150
P008,백조식당,P058,황오바오,15,1097
P008,백조식당,P059,시간의 여백,13,993
P008,백조식당,P060,리커피하우스,11,850
P008,백조식당,P061,로라커피,21,1592
P008,백조식당,P062,소담루,18,1359
P008,백조식당,P063,위주,18,1298
P008,백조식당,P064,크루그,15,1138
P008,백조식당,P065,나봉상점 경주점,16,1204
P008,백조식당,P066,연화,22,1581
P008,백조식당,P067,yesterday,30,2274
P008,백조식당,P068,진수성찬,12,899
P008,백조식당,P069,베이글베이글러,8,605
P008,백조식당,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),13,1000
P008,백조식당,P071,경주 교촌마을,11,885
P008,백조식당,P072,경주 황리단길,4,288
P008,백조식당,P073,경주 계림,16,1202
P008,백조식당,P074,월정교,15,1202
P008,백조식당,P075,경주읍성,22,1640
P008,백조식당,P076,경주 첨성대,12,939
P009,줄리스,P010,포롱아밀 황남점,4,269
P009,줄리스,P011,화양연화,7,526
P009,줄리스,P012,료코,5,395
P009,줄리스,P013,황남두꺼비식당 황남본점,5,398
P009,줄리스,P014,피자옥,2,156
P009,줄리스,P015,범외양간 황리단길본점,3,182
P009,줄리스,P016,경주황소곱창 황리단길본점,2,168
P009,줄리스,P017,메종드문,4,330
P009,줄리스,P018,풍미갈비찜,4,323
P009,줄리스,P019,황남갈비,7,530
P009,줄리스,P020,타베르나,5,343
P009,줄리스,P021,소나무 황리단길본점,6,468
P009,줄리스,P022,오칼국수,6,420
P009,줄리스,P023,황남거북이,2,170
